% Model,shear weak dynamic strain gradient.mph
% Version,COMSOL 6.2.0.290
% Date,"Apr 29 2024, 21:29"
% Dimension,1
% Nodes,50
% Expressions,1
% Description,Global
% Top displacement (mm),State variable load
4.0350456151503553E-7,0.0037189000128561517
0.010502550822693364,30.294578199624837
0.041794979779664836,43.07323151098242
0.07588866984847066,50.946214748889695
0.11091290180324924,56.83233609207107
0.15261045686318306,62.22291534442906
0.18270032010355372,65.44770941887722
0.21296785803241558,68.30418117730275
0.2433659578108548,70.79319749638951
0.27395742560017455,72.9581047053342
0.304777984058942,74.81990828599456
0.3357525199322157,76.48249986939635
0.3668168080931505,77.97494358675988
0.39802347494946516,79.26714920257447
0.42933392988931146,80.39466306234193
0.46062517646895806,81.40083037415357
0.4919780010854103,82.28435028399814
0.5234252305614137,83.07290240762731
0.5549686877229443,83.73638599356121
0.5865156596940925,84.33083429187026
0.6181762046874971,84.84124011597446
0.6499581592533324,85.2408544270244
0.681784041135443,85.5744125972854
0.7137408980221528,85.8142828696383
0.7458606033322251,85.99490719516858
0.7782064867801292,86.08715198193866
0.8107570826495265,86.10627318836379
0.8436950363137168,86.06469825932265
0.8770948720575834,85.94772305202497
0.9109433900217174,85.7739652983167
0.9454037346813055,85.5300132836473
0.9804819985421911,85.20493107088772
1.0163031835460619,84.80004418456335
1.0526671347415522,84.32306352898304
1.090148073696922,83.72185861800625
1.1282251367831597,83.02460839315646
1.1668961049848303,82.23710957948147
1.2059894750906979,81.3758958402089
1.2455441509290435,80.44303713639123
1.285799734709865,79.45462292521267
1.3268596203744019,78.52358871779539
1.3678691130644853,77.61421380051954
1.409176331845448,76.72774195323638
1.4506745431389214,75.8071430388977
1.4919549554391303,74.87988434707617
1.533781174322855,73.88072731128926
1.575765576436175,72.84901845375079
1.61729565267557,71.80031358239252
1.6587921355001665,70.71595225871064
1.699764466702451,69.63860020383021
